BRAVADO SPICE LLC,,,,,,,,,
General Ledger,,,,,,,,,
"January-December, 2025",,,,,,,,,

,Distribution account,Transaction date,Transaction type,Num,Name,Description,Split,Amount,Balance
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01320,Buc-ee's Ltd:Buc-ees 38 Royse City TX,3825120290,,349.22,"2,782.57"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01312,Buc-ee's Ltd:Buc-ees 22 New Braunfels TX,2225120338,,289.28,"3,071.85"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01317,Buc-ee's Ltd:Buc-ees 35 Temple TX,3525120312,,139.86,"3,211.71"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01313,Buc-ee's Ltd:Buc-ees 26 Madisonville TX,2625120237,,107.72,"3,319.43"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01318,Buc-ee's Ltd:Buc-ees 36 Terrell TX,3625120324,,343.14,"3,662.57"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01321,Buc-ee's Ltd:Buc-ees 39 Denton TX,3925120305,,335.32,"3,997.89"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01322,Buc-ee's Ltd:Buc-ees 40 Katy TX,4025120325,,309.26,"4,307.15"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01323,Buc-ee's Ltd:Buc-ees 42 Loxley AL,4225120303,,99.90,"4,407.05"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01325,Buc-ee's Ltd:Buc-ees 44 Melissa TX,4425120318,,133.78,"4,540.83"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01326,Buc-ee's Ltd:Buc-ees 45 Sevierville TN,4525120319,,79.92,"4,620.75"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01324,Buc-ee's Ltd:Buc-ees 43 Leeds AL,4325120298,,173.74,"4,794.49"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01327,Buc-ee's Ltd:Buc-ees 46 St Johns FL,4625120309,,141.60,"4,936.09"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01343,Buc-ee's Ltd:Buc-ees 47 Daytona FL,4725120311,,161.58,"5,097.67"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01328,Buc-ee's Ltd:Buc-ees 48 Ennis TX,4825120288,,93.82,"5,191.49"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01329,Buc-ee's Ltd:Buc-ees 50 Crossville TN,5025120305,,249.32,"5,440.81"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01330,Buc-ee's Ltd:Buc-ees 51 Warner Robins GA,5125120314,,121.62,"5,562.43"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01331,Buc-ee's Ltd:Buc-ees 52 Calhoun GA,5225120312,,121.62,"5,684.05"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01332,Buc-ee's Ltd:Buc-ees 53 Florence SC,5325120311,,119.88,"5,803.93"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01333,Buc-ee's Ltd:Buc-ees 55 Richmond KY,5525120287,,139.86,"5,943.79"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01334,Buc-ee's Ltd:Buc-ees 56 Smiths Grove KY,5625120310,,107.72,"6,051.51"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01336,Buc-ee's Ltd:Buc-ees 59 Hillsboro TX,5925120318,,161.58,"6,213.09"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01337,Buc-ee's Ltd:Buc-ees 60 Johnstown,6025120298,,79.92,"6,293.01"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01335,Buc-ee's Ltd:Buc-ees 57 Athens AL,5725120306,,159.84,"6,452.85"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01338,Buc-ee's Ltd:Buc-ees 61 Harrison County MS,6125120300,,79.92,"6,532.77"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01340,Buc-ee's Ltd:Buc-ees 63 Brunswick GA,6325120308,,287.54,"6,820.31"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01339,Buc-ee's Ltd:Buc-ees 62 Springfield MO,6225120303,,133.78,"6,954.09"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01341,Buc-ee's Ltd:Buc-ees 66 Amarillo TX,6625120307,,107.72,"7,061.81"
,12000 Accounts Receivable,12/16/2025,Invoice,BRV01342,Buc-ee's Ltd:Buc-ees 69 Rockingham VA,6925120302,,99.90,"7,161.71"
,12000 Accounts Receivable,12/16/2025,Invoice,2130085026,Little Kitchen HTX,2130085026,,227.27,"7,388.98"
,12000 Accounts Receivable,12/16/2025,Invoice,Faire | #UFN5TERGW9,EVILO OILS & VINEGARS,Faire | #UFN5TERGW9,,186.60,"7,575.58"
,12000 Accounts Receivable,12/16/2025,Invoice,Faire | #SSKSPFG2BG,Pirate O's Gourmet Market,Faire | #SSKSPFG2BG,,414.93,"7,990.51"
,12000 Accounts Receivable,12/16/2025,Invoice,Faire | #YAZ7U7MEP3,Henderson & Kane General Store,Faire | #YAZ7U7MEP3,,144.28,"8,134.79"
,12000 Accounts Receivable,12/16/2025,Invoice,Faire | #TGPQTRGUEG,Sonoran Spice,Faire | #TGPQTRGUEG,,312.96,"8,447.75"
,12000 Accounts Receivable,12/16/2025,Invoice,Faire | #CW47A5SZ9D,PIMO POWA,Faire | #CW47A5SZ9D,,385.91,"8,833.66"
,12000 Accounts Receivable,12/16/2025,Payment,,Henderson & Kane General Store,,1862 Found Chase Bank,-144.28,"8,689.38"
,12000 Accounts Receivable,12/16/2025,Payment,,EVILO OILS & VINEGARS,,1862 Found Chase Bank,-186.60,"8,502.78"
,12000 Accounts Receivable,12/17/2025,Payment,,PIMO POWA,,1862 Found Chase Bank,-385.91,"8,116.87"
,12000 Accounts Receivable,12/22/2025,Invoice,Faire #SG4EXYHEHH,Manready Mercantile,Faire #SG4EXYHEHH,,526.94,"8,643.81"
,12000 Accounts Receivable,12/22/2025,Payment,,Manready Mercantile,,1862 Found Chase Bank,-526.94,"8,116.87"
,12000 Accounts Receivable,12/23/2025,Payment,check,Little Kitchen HTX,,"Chase, Checking ...8733",-227.27,"7,889.60"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 17 Luling TX,,1862 Found Chase Bank,-93.82,"7,795.78"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 26 Madisonville TX,,1862 Found Chase Bank,-107.72,"7,688.06"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 30 Wharton TX,,1862 Found Chase Bank,-107.72,"7,580.34"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 34 Baytown TX,,1862 Found Chase Bank,-99.90,"7,480.44"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 35 Temple TX,,1862 Found Chase Bank,-139.86,"7,340.58"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 36 Terrell TX,,1862 Found Chase Bank,-343.14,"6,997.44"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 38 Royse City TX,,1862 Found Chase Bank,-349.22,"6,648.22"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 39 Denton TX,,1862 Found Chase Bank,-335.32,"6,312.90"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 40 Katy TX,,1862 Found Chase Bank,-309.26,"6,003.64"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 42 Loxley AL,,1862 Found Chase Bank,-99.90,"5,903.74"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 43 Leeds AL,,1862 Found Chase Bank,-173.74,"5,730.00"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 44 Melissa TX,,1862 Found Chase Bank,-133.78,"5,596.22"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 46 St Johns FL,,1862 Found Chase Bank,-141.60,"5,454.62"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 47 Daytona FL,,1862 Found Chase Bank,-161.58,"5,293.04"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 48 Ennis TX,,1862 Found Chase Bank,-93.82,"5,199.22"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 52 Calhoun GA,,1862 Found Chase Bank,-121.62,"5,077.60"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 55 Richmond KY,,1862 Found Chase Bank,-139.86,"4,937.74"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 56 Smiths Grove KY,,1862 Found Chase Bank,-107.72,"4,830.02"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 57 Athens AL,,1862 Found Chase Bank,-159.84,"4,670.18"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 59 Hillsboro TX,,1862 Found Chase Bank,-161.58,"4,508.60"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 60 Johnstown,,1862 Found Chase Bank,-79.92,"4,428.68"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 62 Springfield MO,,1862 Found Chase Bank,-133.78,"4,294.90"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 63 Brunswick GA,,1862 Found Chase Bank,-287.54,"4,007.36"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 66 Amarillo TX,,1862 Found Chase Bank,-107.72,"3,899.64"
,12000 Accounts Receivable,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 69 Rockingham VA,,1862 Found Chase Bank,-99.90,"3,799.74"
,12000 Accounts Receivable,12/26/2025,Invoice,BRV01344,KeHE Distributors LLC,3413942,,"9,565.38","13,365.12"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01346,Buc-ee's Ltd:Buc-ees 22 New Braunfels TX,002225120654,,281.46,"13,646.58"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01349,Buc-ee's Ltd:Buc-ees 35 Temple TX,003525120622,,107.72,"13,754.30"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01347,Buc-ee's Ltd:Buc-ees 28 Bastrop TX,002825120540,,233.68,"13,987.98"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01345,Buc-ee's Ltd:Buc-ees 18 Waller TX,001825120590,,167.66,"14,155.64"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01348,Buc-ee's Ltd:Buc-ees 33 Texas City TX,003325120596,,93.82,"14,249.46"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01351,Buc-ee's Ltd:Buc-ees 37 Fort Worth TX,003725120620,,383.10,"14,632.56"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01352,Buc-ee's Ltd:Buc-ees 38 Royse City TX,003825120569,,119.88,"14,752.44"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01350,Buc-ee's Ltd:Buc-ees 36 Terrell TX,003625120634,,79.92,"14,832.36"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01354,Buc-ee's Ltd:Buc-ees 40 Katy TX,004025120619,,139.86,"14,972.22"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01353,Buc-ee's Ltd:Buc-ees 39 Denton TX,003925120605,,215.44,"15,187.66"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01355,Buc-ee's Ltd:Buc-ees 42 Loxley AL,004225120605,,79.92,"15,267.58"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01356,Buc-ee's Ltd:Buc-ees 43 Leeds AL,004325120586,61270 Sales:Hot Sauce:Black Garlic & Carolina Reaper Hot Sauce,135.52,"15,403.10"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01357,Buc-ee's Ltd:Buc-ees 44 Melissa TX,004425120639,,127.70,"15,530.80"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01358,Buc-ee's Ltd:Buc-ees 45 Sevierville TN,004525120626,,79.92,"15,610.72"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01360,Buc-ee's Ltd:Buc-ees 47 Daytona FL,004725120607,,175.48,"15,786.20"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01359,Buc-ee's Ltd:Buc-ees 46 St Johns FL,004625120595,,181.56,"15,967.76"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01361,Buc-ee's Ltd:Buc-ees 50 Crossville TN,005025120581,,167.66,"16,135.42"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01362,Buc-ee's Ltd:Buc-ees 51 Warner Robins GA,005125120607,,283.20,"16,418.62"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01363,Buc-ee's Ltd:Buc-ees 52 Calhoun GA,005225120622,,153.76,"16,572.38"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01365,Buc-ee's Ltd:Buc-ees 55 Richmond KY,005525120575,,181.56,"16,753.94"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01364,Buc-ee's Ltd:Buc-ees 53 Florence SC,005325120626,,179.82,"16,933.76"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01367,Buc-ee's Ltd:Buc-ees 57 Athens AL,005725120589,,79.92,"17,013.68"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01370,Buc-ee's Ltd:Buc-ees 60 Johnstown,006025120585,,99.90,"17,113.58"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01369,Buc-ee's Ltd:Buc-ees 59 Hillsboro TX,005925120614,,233.68,"17,347.26"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01371,Buc-ee's Ltd:Buc-ees 61 Harrison County MS,006125120598,,107.72,"17,454.98"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01372,Buc-ee's Ltd:Buc-ees 62 Springfield MO,006225120601,,221.52,"17,676.50"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01373,Buc-ee's Ltd:Buc-ees 63 Brunswick GA,006325120597,,107.72,"17,784.22"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01366,Buc-ee's Ltd:Buc-ees 56 Smiths Grove KY,005625120597,,107.72,"17,891.94"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01368,Buc-ee's Ltd:Buc-ees 58 Auburn AL,005825120552,,79.92,"17,971.86"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01374,Buc-ee's Ltd:Buc-ees 66 Amarillo TX,006625120603,,233.68,"18,205.54"
,12000 Accounts Receivable,12/29/2025,Invoice,BRV01375,Buc-ee's Ltd:Buc-ees 69 Rockingham VA,006925120594,,267.56,"18,473.10"
,12000 Accounts Receivable,12/30/2025,Invoice,SO-2130085039,The Omega Grill,SO-2130085039,,80.00,"18,553.10"
,12000 Accounts Receivable,12/30/2025,Invoice,KXHJ2TU8U6,Gifts Curated,SO-2130085042,61410 Sales:Mixers:Pineapple & Jalapeno & Margarita Mix,226.44,"18,779.54"
,12000 Accounts Receivable,12/30/2025,Payment,,Buc-ee's Ltd:Buc-ees 18 Waller TX,,1862 Found Chase Bank,-99.90,"18,679.64"
,12000 Accounts Receivable,12/30/2025,Payment,,Buc-ee's Ltd:Buc-ees 28 Bastrop TX,,1862 Found Chase Bank,-79.92,"18,599.72"
,12000 Accounts Receivable,12/30/2025,Payment,,Buc-ee's Ltd:Buc-ees 37 Fort Worth TX,,1862 Found Chase Bank,-173.74,"18,425.98"
,12000 Accounts Receivable,12/30/2025,Payment,,Buc-ee's Ltd:Buc-ees 45 Sevierville TN,,1862 Found Chase Bank,-79.92,"18,346.06"
,12000 Accounts Receivable,12/30/2025,Payment,,Buc-ee's Ltd:Buc-ees 50 Crossville TN,,1862 Found Chase Bank,-249.32,"18,096.74"
,12000 Accounts Receivable,12/30/2025,Payment,,Buc-ee's Ltd:Buc-ees 51 Warner Robins GA,,1862 Found Chase Bank,-121.62,"17,975.12"
,12000 Accounts Receivable,12/30/2025,Payment,,Buc-ee's Ltd:Buc-ees 53 Florence SC,,1862 Found Chase Bank,-119.88,"17,855.24"
,12000 Accounts Receivable,12/31/2025,Invoice,123125,Pemberton Farms Market Place,123125,,149.82,"18,005.06"
,12000 Accounts Receivable,12/31/2025,Payment,,Gifts Curated,,1862 Found Chase Bank,-226.44,"17,778.62"
,12000 Accounts Receivable,12/31/2025,Payment,,Joe Lauricella,,1862 Found Chase Bank,-191.88,"17,586.74"
Total for 12000 Accounts Receivable,,,,,,,,"-$9,619.19",
13000 Prepaid Expenses,,,,,,,,,
,13000 Prepaid Expenses,01/29/2025,Bill,INV4306196,1WorldSync,Kroger Vendor Item Portal (VIP) Only 01-Mar-2025 - 28-Feb-2026,31000 Accounts Payable,282.49,282.49
,13000 Prepaid Expenses,03/31/2025,Journal Entry,AJE-394,,To record 1Worldsync for the month,,-23.54,258.95
,13000 Prepaid Expenses,04/30/2025,Journal Entry,AJE-409,,To record 1Worldsync for the month,,-23.54,235.41
,13000 Prepaid Expenses,05/31/2025,Journal Entry,AJE-423,,To record 1Worldsync for the month,,-23.54,211.87
,13000 Prepaid Expenses,06/30/2025,Journal Entry,AJE-443,,To record 1Worldsync for the month,,-23.54,188.33
,13000 Prepaid Expenses,07/31/2025,Journal Entry,AJE-459,,To record 1Worldsync for the month,,-23.54,164.79
,13000 Prepaid Expenses,08/31/2025,Journal Entry,AJE-468,,To record 1Worldsync for the month,,-23.54,141.25
,13000 Prepaid Expenses,09/30/2025,Journal Entry,AJE-475,,To record 1Worldsync for the month,,-23.54,117.71
,13000 Prepaid Expenses,10/31/2025,Journal Entry,AJE-485,,To record 1Worldsync for the month,,-23.54,94.17
,13000 Prepaid Expenses,11/30/2025,Journal Entry,AJE-497,,To record 1Worldsync for the month,,-23.54,70.63
,13000 Prepaid Expenses,12/31/2025,Expense,,"Western Crating, LLC",ONLINE DOMESTIC WIRE TRANSFER VIA: FIRST HORIZON BANK/XXXXX0026 A/C: WESTERN CRATING LLC HOUSTON TX X7041 US REF: JAN 2026 RENT/TIME/20:11 IMAD: 1231MMQFMP2M092 989 TRN: XXXXXX5365 ES 12/31,11200 Chase Checking 5189,"2,330.00","2,400.63"
,13000 Prepaid Expenses,12/31/2025,Journal Entry,AJE-521,,To record 1Worldsync for the month,,-23.54,"2,377.09"
Total for 13000 Prepaid Expenses,,,,,,,,"$2,377.09",
15000 Undeposited Funds,,,,,,,,,
,Beginning Balance,,,,,,,,271.44
,15000 Undeposited Funds,01/31/2025,Journal Entry,AJE-472,,To recognize this payment came through QBO for invoices paid via QBO,,-911.02,-639.58
,15000 Undeposited Funds,02/03/2025,Payment,,Little Kitchen HTX,Paid via QuickBooks Payments: Payment ID 263528,12000 Accounts Receivable,99.36,-540.22
,15000 Undeposited Funds,02/03/2025,Payment,,Puckerbutt Pepper Company,Paid via QuickBooks Payments: Payment ID 423-937,12000 Accounts Receivable,155.76,-384.46
,15000 Undeposited Funds,02/03/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 263528,11200 Chase Checking 5189,-99.36,-483.82
,15000 Undeposited Funds,02/03/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 423-937,11200 Chase Checking 5189,-155.76,-639.58
,15000 Undeposited Funds,02/03/2025,Deposit,,,,11200 Chase Checking 5189,255.12,-384.46
,15000 Undeposited Funds,02/04/2025,Payment,,Spice & Tea Merchants | McKinney,Paid via QuickBooks Payments: Payment ID 09721G,12000 Accounts Receivable,"1,033.92",649.46
,15000 Undeposited Funds,02/04/2025,Deposit,,Spice & Tea Merchants | McKinney,Paid via QuickBooks Payments: Payment ID 09721G,QuickBooks Checking Account,"-1,033.92",-384.46
,15000 Undeposited Funds,02/04/2025,Transfer,,,,"Chase, Checking ...8733",-255.12,-639.58
,15000 Undeposited Funds,02/05/2025,Payment,,Lifeworks | Aramark Fort Worth,Paid via QuickBooks Payments: Payment ID 072474,12000 Accounts Receivable,698.76,59.18
,15000 Undeposited Funds,02/05/2025,Deposit,,Lifeworks | Aramark Fort Worth,Paid via QuickBooks Payments: Payment ID 072474,11200 Chase Checking 5189,-698.76,-639.58
,15000 Undeposited Funds,05/31/2025,Journal Entry,AJE-422,,To close out Undeposited Funds for the month end of May 2025,,639.58,$0.00
,15000 Undeposited Funds,11/12/2025,Payment,,Hot Sauce Bar,Paid via QuickBooks Payments: Payment ID 209158,12000 Accounts Receivable,"2,392.10","2,392.10"
,15000 Undeposited Funds,11/12/2025,Deposit,,Hot Sauce Bar,Paid via QuickBooks Payments: Payment ID 209158,11200 Chase Checking 5189,"-2,392.10",$0.00
,15000 Undeposited Funds,11/18/2025,Payment,,Art's Specialties,Paid via QuickBooks Payments: Payment ID 989482,12000 Accounts Receivable,467.35,467.35
,15000 Undeposited Funds,11/18/2025,Deposit,,Art's Specialties,Paid via QuickBooks Payments: Payment ID 989482,11200 Chase Checking 5189,-467.35,$0.00
Total for 15000 Undeposited Funds,,,,,,,,-$271.44,
20000 Inventory Asset,,,,,,,,,
,20000 Inventory Asset,01/31/2025,Journal Entry,AJE-351,,To zeroed out Inventory Asset ftm of  January 2025,,$0.00,$0.00
,20000 Inventory Asset,02/28/2025,Journal Entry,AJE-358,,To zeroed out Inventory Asset ftm of  February 2025,,$0.00,$0.00
,20000 Inventory Asset,03/31/2025,Journal Entry,AJE-395,,To zeroed out Inventory Asset ftm of  March 2025,,$0.00,$0.00
Total for 20000 Inventory Asset,,,,,,,,$0.00,
Amazon Inventory,,,,,,,,,
,Beginning Balance,,,,,,,,"1,127.25"
,Amazon Inventory,01/31/2025,Journal Entry,AJE-350,,To record Amazon Inventory for the month of January 2025,,455.57,"1,582.82"
,Amazon Inventory,02/28/2025,Journal Entry,AJE-359,,To record Amazon Inventory for the month of February 2025,,657.14,"2,239.96"
,Amazon Inventory,03/31/2025,Journal Entry,AJE-400,,To record Amazon Inventory for the month of March 2025,,"1,384.81","3,624.77"
,Amazon Inventory,04/30/2025,Journal Entry,AJE-412,,To record Amazon Inventory for the month of April 2025,,"2,590.57","6,215.34"
,Amazon Inventory,05/31/2025,Journal Entry,AJE-433,,To record Amazon Inventory for the month of May 2025,,"-4,526.42","1,688.92"
,Amazon Inventory,06/30/2025,Journal Entry,AJE-453,,To record Amazon Inventory for the month of June 2025,,490.47,"2,179.39"
,Amazon Inventory,07/31/2025,Journal Entry,AJE-463,,To record Amazon Inventory for the month of July 2025,,-76.51,"2,102.88"
,Amazon Inventory,08/31/2025,Journal Entry,AJE-470,,To record Amazon Inventory for the month of August 2025,,-105.56,"1,997.32"
,Amazon Inventory,09/30/2025,Journal Entry,AJE-477,,To record Amazon Inventory for the month of September 2025,,206.65,"2,203.97"
,Amazon Inventory,10/31/2025,Journal Entry,AJE-489,,To record Amazon Inventory for the month of October 2025,,994.04,"3,198.01"
,Amazon Inventory,11/30/2025,Journal Entry,AJE-498,,To record Amazon Inventory for the month of November 2025,,"-1,487.04","1,710.97"
,Amazon Inventory,12/31/2025,Journal Entry,AJE-528,,To record Amazon Inventory for the month of December 2025,,"1,597.44","3,308.41"
Total for Amazon Inventory,,,,,,,,"$2,181.16",
Ecomm Inventory,,,,,,,,,
Shopify/ Web Inventory,,,,,,,,,
,Beginning Balance,,,,,,,,"6,833.87"
,Shopify/ Web Inventory,01/31/2025,Journal Entry,AJE-350,,To record  Shopify Inventory for the month of January 2025,,"7,295.28","14,129.15"
,Shopify/ Web Inventory,01/31/2025,Journal Entry,AJE-509,,To tie out in Shopify monthly inventory balance,,"-12,922.90","1,206.25"
,Shopify/ Web Inventory,02/28/2025,Journal Entry,AJE-359,,To record  Shopify Inventory for the month of February 2025,,"6,350.47","7,556.72"
,Shopify/ Web Inventory,02/28/2025,Journal Entry,AJE-510,,To tie out in Shopify monthly inventory balance,,"-4,855.08","2,701.64"
,Shopify/ Web Inventory,03/31/2025,Journal Entry,AJE-400,,To record  Shopify Inventory for the month of March 2025,,"22,215.62","24,917.26"
,Shopify/ Web Inventory,03/31/2025,Journal Entry,AJE-511,,To tie out in Shopify monthly inventory balance,,"-19,657.50","5,259.76"
,Shopify/ Web Inventory,04/30/2025,Journal Entry,AJE-412,,To record  Shopify Inventory for the month of April 2025,,"-9,578.99","-4,319.23"
,Shopify/ Web Inventory,04/30/2025,Journal Entry,AJE-512,,To tie out in Shopify monthly inventory balance,,"9,518.06","5,198.83"
,Shopify/ Web Inventory,05/31/2025,Journal Entry,AJE-433,,To record  Shopify Inventory for the month of May 2025,,$0.00,"5,198.83"
,Shopify/ Web Inventory,05/31/2025,Journal Entry,AJE-513,,To tie out in Shopify monthly inventory balance,,"-1,476.35","3,722.48"
,Shopify/ Web Inventory,06/30/2025,Journal Entry,AJE-453,,To record  Shopify Inventory for the month of June 2025,,"2,089.99","5,812.47"
,Shopify/ Web Inventory,06/30/2025,Journal Entry,AJE-514,,To tie out in Shopify monthly inventory balance,,"-3,314.06","2,498.41"
,Shopify/ Web Inventory,07/31/2025,Journal Entry,AJE-463,,To record  Shopify Inventory for the month of July 2025,,"10,497.24","12,995.65"
,Shopify/ Web Inventory,07/31/2025,Journal Entry,AJE-515,,To tie out in Shopify monthly inventory balance,,"-7,054.24","5,941.41"
,Shopify/ Web Inventory,08/31/2025,Journal Entry,AJE-470,,To record  Shopify Inventory for the month of August  2025,,"-6,104.31",-162.90
,Shopify/ Web Inventory,08/31/2025,Journal Entry,AJE-516,,To tie out in Shopify monthly inventory balance,,"5,689.01","5,526.11"
,Shopify/ Web Inventory,09/30/2025,Journal Entry,AJE-477,,To record  Shopify Inventory for the month of September 2025,,$0.00,"5,526.11"
,Shopify/ Web Inventory,09/30/2025,Journal Entry,AJE-517,,To tie out in Shopify monthly inventory balance,,79.68,"5,605.79"
,Shopify/ Web Inventory,10/31/2025,Journal Entry,AJE-489,,To record  Shopify Inventory for the month of October 2025,,$0.00,"5,605.79"
,Shopify/ Web Inventory,10/31/2025,Journal Entry,AJE-518,,To tie out in Shopify monthly inventory balance,,-821.88,"4,783.91"
,Shopify/ Web Inventory,11/30/2025,Journal Entry,AJE-498,,To record  Shopify Inventory for the month of November 2025,,$0.00,"4,783.91"
,Shopify/ Web Inventory,11/30/2025,Journal Entry,AJE-519,,To tie out in Shopify monthly inventory balance,,"1,837.26","6,621.17"
,Shopify/ Web Inventory,12/31/2025,Journal Entry,AJE-520,,To tie out in Shopify monthly inventory balance,,"-1,260.32","5,360.85"
,Shopify/ Web Inventory,12/31/2025,Journal Entry,AJE-528,,To record  Shopify Inventory for the month of December 2025,,$0.00,"5,360.85"
Total for Shopify/ Web Inventory,,,,,,,,"-$1,473.02",
Web Inventory,,,,,,,,,
,Web Inventory,03/31/2025,Journal Entry,AJE-400,,To record  Web Inventory for the month of March 2025,,"23,611.72","23,611.72"
,Web Inventory,03/31/2025,Journal Entry,AJE-511,,To tie out in Shopify monthly inventory balance,,"-23,611.72",$0.00
,Web Inventory,04/30/2025,Journal Entry,AJE-412,,To record  Web Inventory for the month of  April 2025,,"-23,611.72","-23,611.72"
,Web Inventory,04/30/2025,Journal Entry,AJE-512,,To tie out in Shopify monthly inventory balance,,"23,611.72",$0.00
,Web Inventory,05/31/2025,Journal Entry,AJE-433,,To record  Web Inventory for the month of May 2025,,"9,569.92","9,569.92"
,Web Inventory,05/31/2025,Journal Entry,AJE-513,,To tie out in Shopify monthly inventory balance,,"-9,569.92",$0.00
